Nome;Sobrenome;NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;NumeroEndereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao;ID_USUARIO;STATUS_CADASTRO
="Sidney";="Roob";="Sidney Roob";="sidney.roob";="roob.sidney@gmx.com";="RooSi21";="true";="85058851121";="12538030937";="Sidney Roob LTDA";="97645075000161";="Jimmy Burgs";="55473";="Halvorsonview";="Georgia";="73237841";="Macao";="2403021949581404";="07/26";="Tablet Veloz";="4118.43";="Um excelente tablet veloz da categoria Perifericos, ideal para suas necessidades.";="25";="Perifericos";="Descricao para a categoria Perifericos";="O Papel da Aprendizagem Hibrida";="Introducao ao topico O Papel da Aprendizagem Hibrida. Discutimos os conceitos basicos de Aprendizagem Hibrida aplicados a Educacao.";="Sidney Roob";="2025-08-15T19:37:13.817Z";"=""2144e070-3a89-4dc2-bf92-3be9e04ac301""";"=""Cadastrado com sucesso"""
="Margaretta";="Hermann";="Margaretta Hermann";="margaretta.hermann";="hermann.margaretta@hotmail.com";="HerMa48";="true";="95498026048";="13346693154";="Margaretta Hermann LTDA";="63040693000166";="Kessler Way";="847";="Leeland";="California";="17611298";="United Kingdom";="2630006711911868";="09/27";="Leitor de E-book Sustentavel";="4400.51";="Um excelente leitor de e-book sustentavel da categoria Perifericos, ideal para suas necessidades.";="78";="Perifericos";="Descricao para a categoria Perifericos";="Alimentacao e Nutricao Funcional";="Introducao ao topico Alimentacao e Nutricao Funcional. Discutimos os conceitos basicos de Nutricao Funcional aplicados a Saude e Bem-Estar.";="Margaretta Hermann";="2025-08-15T19:37:14.773Z";"=""518b4c7d-a356-40bf-bd96-30f0ff3d598d""";"=""Cadastrado com sucesso"""
="Filiberto";="Stark";="Filiberto Stark";="filiberto.stark";="stark.filiberto@msn.com";="StaFi38";="true";="16211143338";="15633122739";="Filiberto Stark LTDA";="94109619000182";="Abraham Fields";="2939";="North Veronicamouth";="New Jersey";="63613865";="France";="341330232799949";="04/28";="Processador Compacto";="333.93";="Um excelente processador compacto da categoria Impressao, ideal para suas necessidades.";="75";="Impressao";="Descricao para a categoria Impressao";="O Impacto do Poluicao Plastica no Planeta";="Este e um artigo sobre O Impacto do Poluicao Plastica no Planeta. O foco principal e em Poluicao Plastica no campo da Meio Ambiente.";="Filiberto Stark";="2025-08-15T19:37:15.727Z";"=""3bf61adf-b545-4a48-b24a-cda5dd676dfe""";"=""Cadastrado com sucesso"""
="Keara";="Christiansen";="Keara Christiansen";="keara.christiansen";="christiansen.keara@zoho.com";="ChrKe22";="true";="18505983122";="15316909659";="Keara Christiansen LTDA";="00355470000178";="Lang Ridges";="47148";="East Vincenzoville";="Oregon";="57195432";="Czech Republic";="4690460560239033";="04/28";="Memoria RAM Conectado";="3266.61";="Um excelente memoria ram conectado da categoria Informatica, ideal para suas necessidades.";="87";="Informatica";="Descricao para a categoria Informatica";="A Revolucao da Aprendizagem Hibrida na Sala de Aula";="Uma analise sobre o tema A Revolucao da Aprendizagem Hibrida na Sala de Aula. Exploramos a relevancia de Aprendizagem Hibrida para a area de Educacao.";="Keara Christiansen";="2025-08-15T19:37:17.237Z";"=""29255820-c472-4181-840f-02c3c1a73187""";"=""Cadastrado com sucesso"""
="Colt";="Adams";="Colt Adams";="colt.adams";="adams.colt@terra.com.br";="AdaCo87";="true";="26723654587";="14788049000";="Colt Adams LTDA";="61061334000160";="Twila Village";="2414";="Marquesmouth";="Rhode Island";="11017586";="France";="4556780109001765";="12/27";="Cooler CPU Sustentavel";="1391.85";="Um excelente cooler cpu sustentavel da categoria Energia, ideal para suas necessidades.";="9";="Energia";="Descricao para a categoria Energia";="5 Tendencias em Inteligencia Artificial";="Uma analise sobre o tema 5 Tendencias em Inteligencia Artificial. Exploramos a relevancia de Inteligencia Artificial para a area de Tecnologia.";="Colt Adams";="2025-08-15T19:37:18.236Z";"=""e2ece6a9-962d-40f8-8bb6-635f8b01832d""";"=""Cadastrado com sucesso"""
="Lula";="McCullough";="Lula McCullough";="lula.mccullough";="mccullough.lula@terra.com.br";="MccLu28";="true";="21079516328";="17016915433";="Lula McCullough LTDA";="55020856000110";="Rhett Shoal";="713";="New Brennahaven";="California";="28589020";="San Marino";="5136021097116901";="05/26";="Monitor 4K Portatil";="1964.89";="Um excelente monitor 4k portatil da categoria Impressao, ideal para suas necessidades.";="68";="Impressao";="Descricao para a categoria Impressao";="Os Maiores Momentos do Futebol Europeu";="Introducao ao topico Os Maiores Momentos do Futebol Europeu. Discutimos os conceitos basicos de Futebol Europeu aplicados a Esportes.";="Lula McCullough";="2025-08-15T19:37:19.230Z";"=""6667b4a8-22aa-4f7f-b7b5-85fb7f915428""";"=""Cadastrado com sucesso"""
="Efren";="Reinger";="Efren Reinger";="efren.reinger";="reinger.efren@mail.com";="ReiEf44";="true";="07855916644";="19102605717";="Efren Reinger LTDA";="44972209000192";="Walter Rue";="540";="West Davonburgh";="Virginia";="32801156";="Cyprus";="377025532991199";="10/27";="Monitor 4K Inteligente";="2562.74";="Um excelente monitor 4k inteligente da categoria Casa Inteligente, ideal para suas necessidades.";="71";="Casa Inteligente";="Descricao para a categoria Casa Inteligente";="Roteiro Inesquecivel por Litoral do Nordeste";="Este e um artigo sobre Roteiro Inesquecivel por Litoral do Nordeste. O foco principal e em Litoral do Nordeste no campo da Viagens e Turismo.";="Efren Reinger";="2025-08-15T19:37:20.405Z";"=""cdddc94e-9d61-4718-b09d-d07dfd17e35a""";"=""Cadastrado com sucesso"""
="Joanny";="Greenfelder";="Joanny Greenfelder";="joanny.greenfelder";="greenfelder.joanny@outlook.com";="GreJo75";="true";="33229215575";="19478213906";="Joanny Greenfelder LTDA";="62689979000104";="Linda Crest";="9569";="Lake Cora";="Kentucky";="11165523";="Zimbabwe";="6011580609952960";="06/28";="Mouse Gamer Customizavel";="3025.50";="Um excelente mouse gamer customizavel da categoria Casa Inteligente, ideal para suas necessidades.";="81";="Casa Inteligente";="Descricao para a categoria Casa Inteligente";="Os Maiores Momentos do Basquete da NBA";="Introducao ao topico Os Maiores Momentos do Basquete da NBA. Discutimos os conceitos basicos de Basquete da NBA aplicados a Esportes.";="Joanny Greenfelder";="2025-08-15T19:37:21.466Z";"=""765f754f-9841-49b1-88be-75ecf7aa67e4""";"=""Cadastrado com sucesso"""
="Danyka";="Turcotte";="Danyka Turcotte";="danyka.turcotte";="turcotte.danyka@ig.com.br";="TurDa60";="true";="96601731560";="15077825318";="Danyka Turcotte LTDA";="45460626000119";="Metz Drive";="645";="South Dillanport";="Georgia";="94310956";="Antarctica (the territory South of 60 deg S)";="4532799715944993";="09/25";="Gabinete ATX Conectado";="1897.28";="Um excelente gabinete atx conectado da categoria Audio e Video, ideal para suas necessidades.";="12";="Audio e Video";="Descricao para a categoria Audio e Video";="A Historia da Churrasco Americano";="Uma analise sobre o tema A Historia da Churrasco Americano. Exploramos a relevancia de Churrasco Americano para a area de Gastronomia e Culinaria.";="Danyka Turcotte";="2025-08-15T19:37:22.625Z";"=""bec9fb66-ea46-44c7-aec3-9bcc27abf175""";"=""Cadastrado com sucesso"""
="Luna";="Cummings";="Luna Cummings";="luna.cummings";="cummings.luna@msn.com";="CumLu50";="true";="12254323750";="14842734663";="Luna Cummings LTDA";="52008876000188";="Farrell Prairie";="3274";="Cassinbury";="Delaware";="77537733";="Australia";="6011264672531643";="12/26";="Placa de Video Resistente";="4924.74";="Um excelente placa de video resistente da categoria Dispositivos Moveis, ideal para suas necessidades.";="26";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="Porque Aprender JavaScript";="Introducao ao topico Porque Aprender JavaScript. Discutimos os conceitos basicos de JavaScript aplicados a Programacao.";="Luna Cummings";="2025-08-15T19:37:23.592Z";"=""dfa59b9c-d71d-4c7b-b7e1-080f9b78bd66""";"=""Cadastrado com sucesso"""
="Agnes";="Stokes";="Agnes Stokes";="agnes.stokes";="stokes.agnes@mail.com";="StoAg84";="true";="29882235484";="19598420604";="Agnes Stokes LTDA";="32612175000146";="Thompson Lights";="38701";="Coleberg";="Rhode Island";="85853887";="Moldova";="5287631047459057";="05/26";="Tablet Profissional";="4963.07";="Um excelente tablet profissional da categoria Armazenamento, ideal para suas necessidades.";="42";="Armazenamento";="Descricao para a categoria Armazenamento";="Os Beneficios da Meditacao";="Este e um artigo sobre Os Beneficios da Meditacao. O foco principal e em Meditacao no campo da Saude e Bem-Estar.";="Agnes Stokes";="2025-08-15T19:37:24.685Z";"=""61d2046c-e08e-47bd-ac5a-e4141d900e13""";"=""Cadastrado com sucesso"""
="Alisha";="Cronin";="Alisha Cronin";="alisha.cronin";="cronin.alisha@zoho.com";="CroAl22";="true";="55885913722";="15312175958";="Alisha Cronin LTDA";="63909788000173";="Hettinger Shore";="8325";="New Kimton";="Vermont";="32106941";="Dominican Republic";="4540445386924";="09/25";="Placa de Video Compacto";="2945.03";="Um excelente placa de video compacto da categoria Redes e Conectividade, ideal para suas necessidades.";="48";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="Metodos Inovadores de Gamificacao";="Uma analise sobre o tema Metodos Inovadores de Gamificacao. Exploramos a relevancia de Gamificacao para a area de Educacao.";="Alisha Cronin";="2025-08-15T19:37:25.679Z";"=""a44329c0-a02f-45ca-98d2-ee7c4bbb6908""";"=""Cadastrado com sucesso"""
="Rogelio";="Klein";="Rogelio Klein";="rogelio.klein";="klein.rogelio@yahoo.com";="KleRo02";="true";="72321519002";="17608768103";="Rogelio Klein LTDA";="62102874000107";="Martin Stravenue";="908";="Reinachester";="Michigan";="72032315";="Oman";="2720293583245309";="11/25";="Cadeira Gamer Conectado";="1112.89";="Um excelente cadeira gamer conectado da categoria Dispositivos Moveis, ideal para suas necessidades.";="98";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="Desvendando os Misterios de Nebulosas";="Este e um artigo sobre Desvendando os Misterios de Nebulosas. O foco principal e em Nebulosas no campo da Universo e Astronomia.";="Rogelio Klein";="2025-08-15T19:37:26.711Z";"=""665b5fdd-8f47-40a2-a08c-ee357baea4da""";"=""Cadastrado com sucesso"""
="Desiree";="Terry";="Desiree Terry";="desiree.terry";="terry.desiree@aol.com";="TerDe08";="true";="59986810108";="18784975925";="Desiree Terry LTDA";="73749890000102";="Mervin Crossing";="55089";="South Avis";="Louisiana";="00628614";="Russian Federation";="6011631969031851";="01/26";="SSD Externo Profissional";="3607.21";="Um excelente ssd externo profissional da categoria Eletronicos, ideal para suas necessidades.";="76";="Eletronicos";="Descricao para a categoria Eletronicos";="A Incrivel Jornada ate Exoplanetas";="Uma analise sobre o tema A Incrivel Jornada ate Exoplanetas. Exploramos a relevancia de Exoplanetas para a area de Universo e Astronomia.";="Desiree Terry";="2025-08-15T19:37:27.764Z";"=""0dd96bf5-6204-4f14-995e-11ca127e017e""";"=""Cadastrado com sucesso"""
="Cassidy";="O Connell";="Cassidy O Connell";="cassidy.oconnell";="oconnell.cassidy@bol.com.br";="ConCa94";="true";="83855713294";="14247284752";="Cassidy O Connell LTDA";="33623058000140";="Powlowski Route";="128";="North Virgil";="Nevada";="11976994";="Andorra";="2640006968800218";="09/25";="Webcam Full HD Silencioso";="2792.94";="Um excelente webcam full hd silencioso da categoria Informatica, ideal para suas necessidades.";="23";="Informatica";="Descricao para a categoria Informatica";="Desvendando os Misterios de Galaxias Distantes";="Introducao ao topico Desvendando os Misterios de Galaxias Distantes. Discutimos os conceitos basicos de Galaxias Distantes aplicados a Universo e Astronomia.";="Cassidy O Connell";="2025-08-15T19:37:28.744Z";"=""6f78ccec-107e-4182-906a-17990c4f032b""";"=""Cadastrado com sucesso"""
="Summer";="Krajcik";="Summer Krajcik";="summer.krajcik";="krajcik.summer@uol.com.br";="KraSu69";="true";="99385629069";="14804537542";="Summer Krajcik LTDA";="08796388000190";="Schmeler Isle";="96131";="West Juanaport";="Michigan";="32119018";="Guinea-Bissau";="4929461601466";="07/27";="Cadeira Gamer Ultra-fino";="322.97";="Um excelente cadeira gamer ultra-fino da categoria Informatica, ideal para suas necessidades.";="26";="Informatica";="Descricao para a categoria Informatica";="Uma Introducao a Genetica";="Este e um artigo sobre Uma Introducao a Genetica. O foco principal e em Genetica no campo da Ciencia e Fisica.";="Summer Krajcik";="2025-08-15T19:37:29.787Z";"=""b26c9306-bc3e-4e26-a565-a26874e4cf75""";"=""Cadastrado com sucesso"""
="Emmanuelle";="Welch";="Emmanuelle Welch";="emmanuelle.welch";="welch.emmanuelle@zoho.com";="WelEm71";="true";="46033236971";="13024460908";="Emmanuelle Welch LTDA";="06072562000127";="Tillman Turnpike";="32960";="South Ima";="Tennessee";="20130904";="Benin";="4532115637941456";="09/25";="Fone de Ouvido Inteligente";="510.54";="Um excelente fone de ouvido inteligente da categoria Energia, ideal para suas necessidades.";="100";="Energia";="Descricao para a categoria Energia";="Guia Completo de APIs REST";="Uma analise sobre o tema Guia Completo de APIs REST. Exploramos a relevancia de APIs REST para a area de Programacao.";="Emmanuelle Welch";="2025-08-15T19:37:30.770Z";"=""c0a10ac0-e1b9-4b56-a808-86ea85751215""";"=""Cadastrado com sucesso"""
="Jaleel";="Weissnat";="Jaleel Weissnat";="jaleel.weissnat";="weissnat.jaleel@msn.com";="WeiJa80";="true";="09811815380";="17479310219";="Jaleel Weissnat LTDA";="42413675000102";="Royal Lane";="6199";="North Erlingbury";="South Dakota";="70177762";="Cook Islands";="342994838103191";="06/26";="Memoria RAM Profissional";="4647.35";="Um excelente memoria ram profissional da categoria Games, ideal para suas necessidades.";="63";="Games";="Descricao para a categoria Games";="Metodos Inovadores de Inteligencia Emocional";="Este e um artigo sobre Metodos Inovadores de Inteligencia Emocional. O foco principal e em Inteligencia Emocional no campo da Educacao.";="Jaleel Weissnat";="2025-08-15T19:37:31.753Z";"=""3d4f6f5c-98b5-4444-8db1-eef668f2beea""";"=""Cadastrado com sucesso"""
="Scotty";="Brown";="Scotty Brown";="scotty.brown";="brown.scotty@zoho.com";="BroSc78";="true";="54849498078";="16899854926";="Scotty Brown LTDA";="94391967000195";="Wintheiser Manor";="56151";="North Nikobury";="Pennsylvania";="93422613";="Libyan Arab Jamahiriya";="5260485143214275";="01/27";="Fone de Ouvido Compacto";="1683.67";="Um excelente fone de ouvido compacto da categoria Fotografia, ideal para suas necessidades.";="20";="Fotografia";="Descricao para a categoria Fotografia";="A Historia da Comida Vegana";="Introducao ao topico A Historia da Comida Vegana. Discutimos os conceitos basicos de Comida Vegana aplicados a Gastronomia e Culinaria.";="Scotty Brown";="2025-08-15T19:37:32.802Z";"=""c53139eb-1789-4719-aae2-2bdd40c8adb5""";"=""Cadastrado com sucesso"""
="Scottie";="McKenzie";="Scottie McKenzie";="scottie.mckenzie";="mckenzie.scottie@yahoo.com";="MckSc82";="true";="22101900882";="18432155200";="Scottie McKenzie LTDA";="81378224000133";="Runolfsson Meadows";="20051";="Leuschkeshire";="South Dakota";="79028575";="Cote d'Ivoire";="340909841845267";="05/27";="Cadeira Gamer Sem Fio";="4208.25";="Um excelente cadeira gamer sem fio da categoria Eletronicos, ideal para suas necessidades.";="77";="Eletronicos";="Descricao para a categoria Eletronicos";="Como 5G Esta Moldando o Mundo";="Este e um artigo sobre Como 5G Esta Moldando o Mundo. O foco principal e em 5G no campo da Tecnologia.";="Scottie McKenzie";="2025-08-15T19:37:33.818Z";"=""5d1856d9-dfe0-466e-8868-d73e1ba10ed6""";"=""Cadastrado com sucesso"""
="Leonora";="Schiller";="Leonora Schiller";="leonora.schiller";="schiller.leonora@aol.com";="SchLe21";="true";="32368260021";="17867799603";="Leonora Schiller LTDA";="13218286000128";="Icie Parkways";="7654";="Wileyside";="Michigan";="50244443";="Cape Verde";="4024007177182754";="04/27";="Gabinete ATX Conectado";="932.80";="Um excelente gabinete atx conectado da categoria Impressao, ideal para suas necessidades.";="68";="Impressao";="Descricao para a categoria Impressao";="A Revolucao da Robotica Educacional na Sala de Aula";="Introducao ao topico A Revolucao da Robotica Educacional na Sala de Aula. Discutimos os conceitos basicos de Robotica Educacional aplicados a Educacao.";="Leonora Schiller";="2025-08-15T19:38:02.842Z";"=""e535627c-6e8c-41af-b221-5cd6db749c5a""";"=""Cadastrado com sucesso"""
="Reed";="Dickinson";="Reed Dickinson";="reed.dickinson";="dickinson.reed@terra.com.br";="DicRe96";="true";="16831291996";="16785783151";="Reed Dickinson LTDA";="65121842000147";="Eleazar Oval";="98372";="Braunmouth";="New Hampshire";="93043954";="Saint Barthelemy";="4716050101104778";="10/25";="Tablet Versatil";="2328.04";="Um excelente tablet versatil da categoria Informatica, ideal para suas necessidades.";="81";="Informatica";="Descricao para a categoria Informatica";="Como 5G Esta Moldando o Mundo";="Este e um artigo sobre Como 5G Esta Moldando o Mundo. O foco principal e em 5G no campo da Tecnologia.";="Reed Dickinson";="2025-08-15T19:38:03.869Z";"=""b699a1bd-3c5f-42a0-9761-c479033864cb""";"=""Cadastrado com sucesso"""
="River";="Roberts";="River Roberts";="river.roberts";="roberts.river@ig.com.br";="RobRi54";="true";="44735792554";="19132528238";="River Roberts LTDA";="87114271000156";="Maggio Shores";="2642";="East Fabiolachester";="New Hampshire";="83074534";="Mongolia";="2221282756859057";="04/28";="Memoria RAM Ergonomica";="3725.01";="Um excelente memoria ram ergonomica da categoria Audio e Video, ideal para suas necessidades.";="68";="Audio e Video";="Descricao para a categoria Audio e Video";="A Carreira Lendaria de Tenis";="Uma analise sobre o tema A Carreira Lendaria de Tenis. Exploramos a relevancia de Tenis para a area de Esportes.";="River Roberts";="2025-08-15T19:38:04.831Z";"=""afb983eb-220e-409f-bc0a-6967d2d131f2""";"=""Cadastrado com sucesso"""
="Kenna";="Kling";="Kenna Kling";="kenna.kling";="kling.kenna@zoho.com";="KliKe79";="true";="57707904079";="14178315255";="Kenna Kling LTDA";="35784481000158";="Enoch Via";="30874";="North Jaime";="Arkansas";="67829798";="French Southern Territories";="5305029236673778";="07/28";="Teclado Mecanico Ultra-fino";="84.16";="Um excelente teclado mecanico ultra-fino da categoria Acessorios, ideal para suas necessidades.";="98";="Acessorios";="Descricao para a categoria Acessorios";="Como Investir em Criptomoedas";="Uma analise sobre o tema Como Investir em Criptomoedas. Exploramos a relevancia de Criptomoedas para a area de Financas e Investimentos.";="Kenna Kling";="2025-08-15T19:38:05.825Z";"=""76df559a-8ba3-49e2-bc75-cf3cdcad4d65""";"=""Cadastrado com sucesso"""
="Johnson";="Wisoky";="Johnson Wisoky";="johnson.wisoky";="wisoky.johnson@gmx.com";="WisJo95";="true";="49420744795";="12533051067";="Johnson Wisoky LTDA";="85197065000121";="Rice Ville";="8241";="Karltown";="North Carolina";="74262941";="Guinea";="4539056106019";="10/27";="Roteador Wi-Fi 6 Inteligente";="1222.31";="Um excelente roteador wi-fi 6 inteligente da categoria Audio e Video, ideal para suas necessidades.";="79";="Audio e Video";="Descricao para a categoria Audio e Video";="Como Realidade Aumentada Esta Moldando o Mundo";="Este e um artigo sobre Como Realidade Aumentada Esta Moldando o Mundo. O foco principal e em Realidade Aumentada no campo da Tecnologia.";="Johnson Wisoky";="2025-08-15T19:38:06.860Z";"=""43ff75e2-85d5-4c3e-aced-f05eb2990ac5""";"=""Cadastrado com sucesso"""
